Company,Ticker,Industry Bucket,Category,Sub-Category
Safe Pro Group Inc.,SPAI,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Satellogic Inc.,SATL,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Sidus Space, Inc.",SIDU,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Smith & Wesson Brands, Inc.",SWBI,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Space Exploration Technologies Corp.,SPCX,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"StandardAero, Inc.",SARO,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Starfighters Space, Inc.",FJET,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Sturm, Ruger & Company, Inc.",RGR,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
T3 Defense Inc.,DFNS,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
TAT Technologies Ltd.,TATT,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Textron Inc.,TXT,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
The Boeing Company,BA,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
The Elmet Group Co.,ELMT,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
TransDigm Group Incorporated,TDG,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"V2X, Inc.",VVX,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
VSE Corporation,VSEC,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
Vertical Aerospace Ltd.,EVTL,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Virgin Galactic Holdings, Inc.",SPCE,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"VisionWave Holdings, Inc.",VWAV,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Voyager Technologies, Inc.",VOYG,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Woodward, Inc.",WWD,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"XTI Aerospace, Inc.",XTIA,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"York Space Systems, Inc.",YSS,Industrials : Aerospace & Defense,Industrials,Aerospace & Defense
"Alaska Air Group, Inc.",ALK,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Allegiant Travel Company,ALGT,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
American Airlines Group Inc.,AAL,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Azul S.A.,AZUL,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",VLRS,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Copa Holdings, S.A.",CPA,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Delta Air Lines, Inc.",DAL,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Frontier Group Holdings, Inc.",ULCC,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Grupo Aeroméxico, S.A.B. de C.V.",AERO,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
JetBlue Airways Corporation,JBLU,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
LATAM Airlines Group S.A.,LTM,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Republic Airways Holdings Inc.,RJET,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Ryanair Holdings plc,RYAAY,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"SkyWest, Inc.",SKYW,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Southwest Airlines Co.,LUV,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Surf Air Mobility Inc.,SRFM,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"United Airlines Holdings, Inc.",UAL,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"flyExclusive, Inc.",FLYX,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
AerSale Corporation,ASLE,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Corporación América Airports S.A.,CAAP,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",OMAB,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",PAC,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",ASR,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Joby Aviation, Inc.",JOBY,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"Volato Group, Inc.",SOAR,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
Wheels Up Experience Inc.,UP,Industrials : Aviation & Airport Services,Industrials,Airlines & Airport Services
"AAON, Inc.",AAON,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Advanced Drainage Systems, Inc.",WMS,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
AirJoule Technologies Corporation,AIRJ,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Alpha Pro Tech, Ltd.",APT,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Antelope Enterprise Holdings Limited,AEHL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Apogee Enterprises, Inc.",APOG,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Arlo Technologies, Inc.",ARLO,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Armstrong World Industries, Inc.",AWI,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Aspen Aerogels, Inc.",ASPN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Builders FirstSource, Inc.",BLDR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Caesarstone Ltd.,CSTE,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Carlisle Companies Incorporated,CSL,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Carrier Global Corporation,CARR,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Fortune Brands Innovations, Inc.",FBIN,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Gibraltar Industries, Inc.",ROCK,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
Griffon Corporation,GFF,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
"Identiv, Inc.",INVE,"Industrials : Construction, Engineering & Building Systems",Industrials,Construction & Building Systems
